Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Central bank assets to GDP (%),GFDD.DI.06,13.25207,16.49797,20.4187,16.30473,19.56944,13.42163,10.24127,8.952191,12.71173,14.01773,12.28697,13.13246,17.90089,16.18774,15.20262,15.76633,16.99464,14.49935,16.74431,18.29334,13.74761,17.69844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.248049,1.917891,1.425788,3.233945,2.826811,2.551267,2.497572,1.992255,1.323696,0.6103021,0.0750632,0.1159692,..
Afghanistan,AFG,Deposit money banks'' assets to GDP (%),GFDD.DI.02,4.603305,4.635627,4.662602,3.440828,3.730556,3.900662,2.804762,2.565737,2.954854,3.141956,3.256675,2.822212,3.893315,3.87141,3.617114,2.575587,2.230522,2.046877,2.445724,2.670421,2.857472,2.435703,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.091321,8.39403,10.25633,10.66358,11.81242,5.044582,4.161288,4.191431,3.721632,3.787812,3.785753,3.718773,3.450272,3.206965,2.98141,..
Afghanistan,AFG,Domestic credit to private sector (% of GDP),GFDD.DI.14,9.27273,8.75304,7.15447,5.06805,5.18611,4.9713,3.80159,3.25232,4.02654,4.87161,4.55312,3.83314,5.54554,5.48769,5.37608,4.71023,5.42878,4.13363,4.55919,6.05786,5.97951,5.83798,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84286,6.83998,9.38833,10.5841,11.575,4.95918,4.4721,4.32169,3.94106,3.98149,3.88832,3.84188,3.51232,3.22996,3.07194,..
Afghanistan,AFG,Liquid liabilities to GDP (%),GFDD.DI.05,13.45041,14.53441,17.19512,14.4645,16.68889,15.57395,11.20794,9.342628,13.29045,15.28707,13.20332,14.03642,18.35376,18.18398,16.59227,16.99455,19.54652,21.64906,22.52572,24.54239,28.85716,31.60955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.49449,27.73951,29.28606,33.30402,36.06937,37.24286,32.76096,33.32521,34.01956,33.82253,37.22271,36.86128,36.60749,34.9591,37.20945,..
Albania,ALB,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.9519,22.53627,16.95704,28.48758,24.69372,17.07625,16.62397,14.50006,14.09178,11.97431,9.651939,9.189349,8.40533,8.215148,7.829318,7.326433,5.541931,5.343606,5.249811,5.082034,5.276285,5.354491,3.735874,3.518524,3.510658,3.389089,4.226071,3.572487
Albania,ALB,Deposit money banks'' assets to GDP (%),GFDD.DI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.49831,54.08206,46.89959,37.46638,37.19549,37.69858,36.3215,36.72307,35.46121,36.89444,38.80511,42.72263,50.03473,56.7099,60.66672,61.70778,61.63805,64.59381,63.66474,63.87393,63.65585,59.27171,59.22118,57.09734,54.07978,55.34961,61.48849,59.77528
Albania,ALB,Domestic credit to private sector (% of GDP),GFDD.DI.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.2134,39.0829,41.1537,40.8046,39.7865,39.2617,37.1507,36.599,34.7578,32.9858,34.1269,37.9913,..
Albania,ALB,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.76496,48.44382,46.22337,59.92533,62.23912,66.02231,65.46322,69.82247,66.85226,65.44225,68.22042,71.41761,76.36533,78.46536,75.48072,59.0378,64.35965,68.69024,71.21796,72.56398,73.43582,72.90962,74.61969,71.45648,68.48411,69.82919,77.39526,74.46411
Algeria,DZA,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,11.23046,12.66544,11.43051,7.436634,7.407796,8.083198,10.90491,12.92589,7.938466,2.696038,1.551544,1.491307,4.184824,7.751311,14.84215,11.45012,12.35631,5.315927,7.980732,12.65469,14.99242,14.48628,22.2323,26.38024,30.03451,26.17814,17.82918,11.66562,15.14804,23.01727,17.18489,12.14126,7.038949,6.393389,6.179602,5.051198,4.095623,3.466281,2.999089,2.740328,2.016596,1.654364,8.655043,0.0794927,0.0577167,0.0756455,0.0773756,0.0678238,0.0680435,0.0408433,0.0434778,0.0414629,0.0350779,13.20188,27.27703,32.01483,35.70337,31.21432
Algeria,DZA,Deposit money banks'' assets to GDP (%),GFDD.DI.02,..,..,..,..,9.171543,8.650546,7.859618,12.94691,19.14446,24.49158,22.14768,25.82721,37.51665,41.35806,48.96333,55.48353,58.57371,54.07348,57.16888,55.87871,51.51323,55.75143,65.43546,68.84852,72.31678,74.39746,76.60654,76.36264,74.54932,68.4724,64.37121,49.07079,40.99265,43.76374,34.31538,35.9724,35.72848,36.48417,40.3179,42.91512,33.36847,44.20502,47.35531,42.50773,38.70002,35.69265,35.50132,34.08051,30.41305,39.80246,37.12401,35.52571,35.98653,39.83168,46.28035,55.08527,60.3506,58.2085,59.37607,64.57919,75.38353,72.44938
Algeria,DZA,Domestic credit to private sector (% of GDP),GFDD.DI.14,..,..,..,..,14.9476,18.109,15.5451,17.2393,23.5247,32.1862,28.4405,35.0087,47.7299,49.138,42.0065,49.9654,53.5538,49.9044,53.8223,51.9872,48.5083,52.5711,62.1614,65.0672,66.4974,68.7298,69.3119,67.5326,68.1468,63.1937,56.1432,46.2892,7.25482,6.61775,6.4891,5.19939,5.3649,3.90742,4.56382,5.38809,5.96564,8.01426,12.1998,11.2223,10.9978,11.9292,12.1171,12.9901,12.7958,16.2658,15.2082,13.7159,14.0253,16.4979,18.352,21.7117,22.8758,24.403,24.9014,25.8065,29.6949,..
Algeria,DZA,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,23.48546,23.61148,26.42276,30.56921,35.87379,36.5221,35.91478,38.00527,43.32005,42.5556,50.80467,55.36705,60.26257,59.55167,64.32201,62.15166,57.56246,56.99948,66.42101,70.99957,73.78439,76.76955,76.53944,82.47394,84.25798,73.01318,61.92713,48.1069,50.66121,49.10256,45.4436,36.90268,33.00584,36.08158,42.37712,42.07777,37.82976,54.33134,60.30313,60.34156,56.6909,50.17707,53.80409,60.04026,58.82249,67.40389,62.92138,60.97169,59.63226,62.83195,70.8328,74.55348,72.23631,73.84113,76.15809,74.72868,87.61681,81.3728
Andorra,AND,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Deposit money banks'' assets to GDP (%),GFDD.DI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Domestic credit to private sector (% of GDP),GFDD.DI.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.1068,4.638174,4.912676,13.01777,27.14766,1.873905,1.048133,4.086266,2.033262,1.340757,0.8717156,0.8352115,0.7088328,0.5139657,1.27879,0.9009507,3.527955,2.527437,1.864215,1.69617,1.78418,3.255429,4.480846,2.891808,3.041789,4.102101,3.214575
Angola,AGO,Deposit money banks'' assets to GDP (%),GFDD.DI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.947873,3.300378,5.503672,5.69137,2.949233,2.184754,3.942621,3.897204,5.524316,7.228091,7.475899,8.063166,13.85104,24.95759,40.17857,33.38153,28.74023,29.06558,31.30212,32.61996,41.35875,40.07643,34.79965,32.48656,31.9317,33.76452,20.86753
Angola,AGO,Domestic credit to private sector (% of GDP),GFDD.DI.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.2401,21.0984,17.0007,14.941,15.3686,12.8561,..
Angola,AGO,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.48713,27.57757,22.61548,24.43704,22.84935,17.28056,20.99253,16.07836,13.38826,12.38609,12.1416,14.62271,17.03642,21.33171,41.30714,33.87183,33.38961,31.07845,33.1903,35.67548,38.08499,36.65786,29.97325,29.02633,31.44369,35.91101,22.27298
Antigua and Barbuda,ATG,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.128133,3.198978,2.757583,2.638719,2.125861,2.649214,2.40449,2.604326,2.35019,5.774693,5.219296,4.731379,3.995848,3.767746,3.246508,3.690562,3.438002,2.677551,2.733828,2.458988,2.098003,1.712614,1.558974,1.362154,1.22284,1.635163,1.600032,1.184939,1.151713,0.8950353,0.8026604,0.6602126,0.1725256,0.5210768,2.998689,3.773339,3.913083,3.441777,2.986456,2.876562,2.483798,1.873888,2.081498,1.754039,1.646019,4.14262,2.945134
Antigua and Barbuda,ATG,Deposit money banks'' assets to GDP (%),GFDD.DI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.36214,62.13076,50.70798,47.75403,41.97294,40.53965,42.1199,41.89635,45.34944,40.48204,41.26827,40.68109,48.37956,47.20687,48.27381,48.11853,48.72675,52.85981,52.18814,47.01356,58.01022,61.09066,68.16659,70.39899,74.58076,75.22916,78.74659,83.08073,80.31372,76.01623,74.00453,77.80324,78.97835,84.40224,95.70363,98.86967,97.52492,90.22443,89.67015,81.53398,69.13285,63.72246,61.82968,57.86443,55.68829,71.69872,67.10177
Antigua and Barbuda,ATG,Domestic credit to private sector (% of GDP),GFDD.DI.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.0184,38.1575,29.1584,28.946,32.9056,31.0399,36.6281,32.7188,33.8833,32.9787,39.2931,38.32,39.5563,40.553,42.0916,45.0346,43.2743,38.57,45.3503,49.6962,55.8861,56.1413,57.8133,58.6277,62.4025,66.2643,64.5086,60.7307,60.3059,64.1607,64.4313,66.6859,74.265,79.0823,76.6278,70.3755,68.7496,61.816,52.2988,48.7485,46.2415,43.0959,42.9165,55.3932,..
Antigua and Barbuda,ATG,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.579,60.61495,48.99847,47.71441,44.39047,40.96432,42.22186,43.09418,48.15144,44.47895,42.84863,41.98855,49.36938,49.23238,50.69323,50.17105,55.20625,58.63938,58.6608,57.9985,70.89125,63.21555,63.06691,67.70792,80.29391,78.95084,85.52397,88.56501,97.33987,96.19704,94.14052,92.82883,91.16595,90.23755,90.7937,97.32619,99.71274,96.97998,99.82199,95.68062,94.65948,86.98073,91.28931,89.46191,84.75455,95.27108,101.0496
Argentina,ARG,Central bank assets to GDP (%),GFDD.DI.06,6.919683,5.934996,5.770965,6.509623,6.759912,6.205122,6.852505,5.983984,5.771163,4.936151,5.165806,5.40651,5.038436,6.555353,8.283086,9.22571,4.651208,4.779768,4.256214,2.208432,3.303302,6.495458,6.579522,15.22258,10.64605,13.4803,12.49276,20.63422,15.88376,14.63749,7.739184,6.013886,4.091106,4.833725,3.247589,3.293852,3.021462,2.686419,2.398412,2.239735,2.627652,7.627637,18.30924,16.64876,13.50976,9.533546,7.684721,6.489634,6.087299,7.793949,8.508353,9.456132,12.56017,14.93377,16.19815,20.30259,17.93329,16.70644,..,..,..,..
