fcode;name;lgdp_pc;uk_mom;frsp_mom;scan_mom;ger_mom;civ_com;rule_law;oppr_mi2;esmvotes;prempt;secu_1st;c1sh_1vo;mail_prx;cumu_vot;mand_div;leg_resv;ch11_res;ch11_apr;mgt_nost;nshsbloc;nant_dir;nauto_st;cred_ind;eff_jud;repudiat;risk_exp;account;c3pri
1;Argentina;8.88461;0;1;0;0;1;5.35;1;0.05;1;1;0;0;1;0;0.2;0;100;0;0;4;0;1;6;4.91;5.91;45;0.53
2;Australia;9.769957;1;0;0;0;0;10;1;0.05;0;1;0;1;0;0;0;0;75;0;1;4;0;1;10;8.71;9.27;75;0.28
3;Austria;10.06518;0;0;0;1;1;10;0;0.05;1;1;0;0;0;0;0.1;1;100;0;0;2;1;3;9.5;9.6;9.69;54;0.58
4;Belgium;9.98276;0;1;0;0;1;10;0;0.2;0;1;0;0;0;0;0.1;0;100;0;0;0;1;2;9.5;9.48;9.63;61;0.54
5;Brazil;7.982758;0;1;0;0;1;6.316667;1;0.05;0;0;1;0;0;0.5;0.2;1;100;0;1;3;0;1;5.75;6.3;7.62;54;0.57
6;Canada;9.901986;1;0;0;0;0;10;1;0.05;0;1;0;1;1;0;0;0;75;0;1;5;0;1;9.25;8.96;9.67;74;0.4
7;Chile;8.061487;0;1;0;0;1;7.016667;1;0.1;1;1;1;0;1;0.3;0.2;1;100;0;1;5;0;2;7.25;6.8;7.5;52;0.45
8;Colombia;7.244227;0;1;0;0;1;2.083333;0;0.25;1;0;0;0;1;0.5;0.5;0;80;0;1;3;0;0;7.25;7.02;6.95;50;0.629
9;Denmark;10.19354;0;0;1;0;1;10;0;0.1;0;1;0;0;0;0;0.25;1;100;0;1;2;1;3;10;9.31;9.67;62;0.45
10;Ecuador;7.090077;0;1;0;0;1;6.666667;0;0.25;1;1;0;0;0;0.5;0.5;1;75;1;1;2;1;4;6.25;5.18;6.57;;
11;Egypt;6.49224;0;1;0;0;1;4.166667;0;0.1;0;1;0;0;0;0;0.5;1;100;1;1;2;1;4;6.5;6.05;6.3;24;0.62
12;Finland;9.867861;0;0;1;0;1;10;0;0.1;1;1;0;0;0;0;0;0;51;0;1;3;0;1;10;9.15;9.67;77;0.37
13;France;10.02083;0;1;0;0;1;8.983334;0;0.1;1;0;0;1;0;0;0.1;0;0;0;0;3;0;0;8;9.19;9.65;69;0.34
14;Germany;10.06731;0;0;0;1;1;9.233334;0;0.05;0;1;0;0;0;0;0.1;1;100;0;0;1;1;3;9;9.77;9.9;62;0.48
15;Greece;8.907883;0;1;0;0;1;6.183333;0;0.05;1;0;1;0;0;0.35;0.33;0;80;1;0;2;0;1;7;6.62;7.12;55;0.67
16;HongKong;9.801455;1;0;0;0;0;8.216666;1;0.1;1;1;0;1;0;0;0;1;100;1;1;5;1;4;10;8.82;8.29;69;0.54
17;India;5.703783;1;0;0;0;0;4.166667;1;0.1;1;1;0;0;1;0;0;1;100;1;1;5;1;4;8;6.11;7.75;57;0.4
18;Indonesia;6.60665;0;1;0;0;1;3.983334;0;0.1;0;1;0;0;0;0;0;1;100;1;1;2;1;4;2.5;6.09;7.16;;0.58
19;Ireland;9.472705;1;0;0;0;0;7.8;1;0.1;1;1;0;0;0;0;0;0;51;0;1;4;0;1;8.75;8.96;9.67;;0.39
20;Israel;9.541082;1;0;0;0;0;4.816667;1;0.1;0;1;0;0;0;0;0;1;75;1;1;3;1;4;10;7.54;8.25;64;0.51
21;Italy;9.895455;0;1;0;0;1;8.333333;0;0.2;1;1;0;0;0;0;0.2;1;100;0;0;1;0;2;6.75;9.17;9.35;62;0.58
22;Japan;10.35743;0;0;0;1;1;8.983334;1;0.03;0;1;1;0;1;0;0.25;0;100;1;1;4;0;2;10;9.69;9.67;65;0.18
23;Jordan;7.081708;0;1;0;0;1;4.35;0;0.25;0;;1;0;0;0;0.25;;;;1;1;;;8.66;4.86;6.07;;
24;Kenya;5.598422;1;0;0;0;0;5.416667;1;0.1;0;1;0;0;0;0;0;1;100;1;1;3;1;4;5.75;5.66;5.98;;
25;Malaysia;8.051978;1;0;0;0;0;6.783334;1;0.1;1;1;1;0;0;0;0;1;100;1;1;4;1;4;9;7.43;7.95;76;0.54
26;Mexico;8.191463;0;1;0;0;1;5.35;0;0.33;1;0;0;0;0;0;0.2;0;100;0;0;1;0;0;6;6.55;7.29;60;0.64
27;Netherlands;9.949894;0;1;0;0;1;10;0;0.1;1;1;0;0;0;0;0;1;100;0;0;2;0;2;10;9.35;9.98;64;0.39
28;New Zealand;9.441452;1;0;0;0;0;10;1;0.05;0;0;0;1;0;0;0;1;100;1;1;4;1;3;10;9.29;9.69;70;0.48
29;Nigeria;5.703783;1;0;0;0;0;2.733333;1;0.1;0;1;0;0;0;0;0;1;100;1;1;3;1;4;7.25;4.36;5.33;59;0.4
30;Norway;10.1647;0;0;1;0;1;10;0;0.1;1;1;0;1;0;0;0.2;1;100;0;1;4;0;2;10;9.71;9.88;74;0.36
31;Pakistan;6.063785;1;0;0;0;0;3.033333;1;0.1;1;1;1;0;1;0;0;1;100;1;1;5;1;4;5;4.87;5.62;;0.37
32;Peru;7.306531;0;1;0;0;1;2.5;0;0.2;1;0;1;0;1;0;0.2;0;70;0;1;3;0;0;6.75;4.68;5.54;38;0.56
